task,item_id,question,total_cost,more,correct,intuitive,total_cost_money_fmt,more_money_fmt,correct_money_fmt,intuitive_money_fmt
crt1,1,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,140,100,$20.0,$40.0,$140.00,$100.00,$20.00,$40.00
crt1,2,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,1.40,1,$0.20,$0.40,$1.40,$1.00,$0.20,$0.40
crt1,3,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,110,100,$5.0,$10.0,$110.00,$100.00,$5.00,$10.00
crt1,4,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,12,10,$1.0,$2.0,$12.00,$10.00,$1.00,$2.00
crt1,5,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,13,10,$1.5,$3.0,$13.00,$10.00,$1.50,$3.00
crt1,6,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,54,50,$2.0,$4.0,$54.00,$50.00,$2.00,$4.00
crt1,7,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,52,50,$1.0,$2.0,$52.00,$50.00,$1.00,$2.00
crt1,8,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,51,50,$0.50,$1.0,$51.00,$50.00,$0.50,$1.00
crt1,9,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,1.20,1,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20
crt1,10,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,13,10,$1.5,$3.0,$13.00,$10.00,$1.50,$3.00
crt1,11,A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?,54,50,$2.0,$4.0,$54.00,$50.00,$2.00,$4.00
crt1,12,A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?,520,500,$10.0,$20.0,$520.00,$500.00,$10.00,$20.00
crt1,13,A mouse and a can of baby food together cost $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?,1.20,1,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20
crt1,14,A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,110,100,$5.0,$10.0,$110.00,$100.00,$5.00,$10.00
crt1,15,A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,520,500,$10.0,$20.0,$520.00,$500.00,$10.00,$20.00
crt1,16,A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10 more than the pencil. How much does the pencil cost?,12,10,$1.0,$2.0,$12.00,$10.00,$1.00,$2.00
crt1,17,A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?,52,50,$1.0,$2.0,$52.00,$50.00,$1.00,$2.00
crt1,18,A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?,1.20,1,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20
crt1,19,A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10 more than the pear. How much does the pear cost?,12,10,$1.0,$2.0,$12.00,$10.00,$1.00,$2.00
crt1,20,A trampoline and a flower box together cost $54. The trampoline costs $50 more than the flower box. How much does the flower box cost?,54,50,$2.0,$4.0,$54.00,$50.00,$2.00,$4.00
crt1,21,A silicone case and a lawnmower together cost $130. The silicone case costs $100 more than the lawnmower. How much does the lawnmower cost?,130,100,$15.0,$30.0,$130.00,$100.00,$15.00,$30.00
crt1,22,A toy and a microwave oven together cost $5.40. The toy costs $5 more than the microwave oven. How much does the microwave oven cost?,5.40,5,$0.20,$0.40,$5.40,$5.00,$0.20,$0.40
crt1,23,A purse and a mixing bowl together cost $5.40. The purse costs $5 more than the mixing bowl. How much does the mixing bowl cost?,5.40,5,$0.20,$0.40,$5.40,$5.00,$0.20,$0.40
crt1,24,A hat and a mouse together cost $540. The hat costs $500 more than the mouse. How much does the mouse cost?,540,500,$20.0,$40.0,$540.00,$500.00,$20.00,$40.00
crt1,25,A purse and a box of cigarettes together cost $1.40. The purse costs $1 more than the box of cigarettes. How much does the box of cigarettes cost?,1.40,1,$0.20,$0.40,$1.40,$1.00,$0.20,$0.40
crt1,26,A box of mascara and a microwave oven together cost $14. The box of mascara costs $10 more than the microwave oven. How much does the microwave oven cost?,14,10,$2.0,$4.0,$14.00,$10.00,$2.00,$4.00
crt1,27,A bag and a food processor together cost $54. The bag costs $50 more than the food processor. How much does the food processor cost?,54,50,$2.0,$4.0,$54.00,$50.00,$2.00,$4.00
crt1,28,A coat and a pot together cost $510. The coat costs $500 more than the pot. How much does the pot cost?,510,500,$5.0,$10.0,$510.00,$500.00,$5.00,$10.00
crt1,29,A jacket and a set of wine glasses together cost $5.10. The jacket costs $5 more than the set of wine glasses. How much does the set of wine glasses cost?,5.10,5,$0.05,$0.10,$5.10,$5.00,$0.05,$0.10
crt1,30,A hat and a coffee table together cost $1.20. The hat costs $1 more than the coffee table. How much does the coffee table cost?,1.20,1,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20
crt1,31,A pencil and a keyboard together cost $14. The pencil costs $10 more than the keyboard. How much does the keyboard cost?,14,10,$2.0,$4.0,$14.00,$10.00,$2.00,$4.00
crt1,32,A bag and a coffee table together cost $53. The bag costs $50 more than the coffee table. How much does the coffee table cost?,53,50,$1.5,$3.0,$53.00,$50.00,$1.50,$3.00
crt1,33,A mixing bowl and a laundry detergent together cost $52. The mixing bowl costs $50 more than the laundry detergent. How much does the laundry detergent cost?,52,50,$1.0,$2.0,$52.00,$50.00,$1.00,$2.00
crt1,34,A perfume and a bottle of ouzo together cost $120. The perfume costs $100 more than the bottle of ouzo. How much does the bottle of ouzo cost?,120,100,$10.0,$20.0,$120.00,$100.00,$10.00,$20.00
crt1,35,A bottle of bath salts and a pack of diapers together cost $510. The bottle of bath salts costs $500 more than the pack of diapers. How much does the pack of diapers cost?,510,500,$5.0,$10.0,$510.00,$500.00,$5.00,$10.00
crt1,36,A CD and a pan together cost $13. The CD costs $10 more than the pan. How much does the pan cost?,13,10,$1.5,$3.0,$13.00,$10.00,$1.50,$3.00
crt1,37,A rice cooker and a sculpture together cost $130. The rice cooker costs $100 more than the sculpture. How much does the sculpture cost?,130,100,$15.0,$30.0,$130.00,$100.00,$15.00,$30.00
crt1,38,A pair of sunglasses and a toy together cost $13. The pair of sunglasses costs $10 more than the toy. How much does the toy cost?,13,10,$1.5,$3.0,$13.00,$10.00,$1.50,$3.00
crt1,39,A speaker and a bottle of ouzo together cost $5.20. The speaker costs $5 more than the bottle of ouzo. How much does the bottle of ouzo cost?,5.20,5,$0.10,$0.20,$5.20,$5.00,$0.10,$0.20
crt1,40,A set of crayons and a wallet together cost $5.20. The set of crayons costs $5 more than the wallet. How much does the wallet cost?,5.20,5,$0.10,$0.20,$5.20,$5.00,$0.10,$0.20
crt1,41,A rug and a sculpture together cost $54. The rug costs $50 more than the sculpture. How much does the sculpture cost?,54,50,$2.0,$4.0,$54.00,$50.00,$2.00,$4.00
crt1,42,A pair of sunglasses and a light bulb together cost $130. The pair of sunglasses costs $100 more than the light bulb. How much does the light bulb cost?,130,100,$15.0,$30.0,$130.00,$100.00,$15.00,$30.00
crt1,43,A scarf and a ring together cost $1.20. The scarf costs $1 more than the ring. How much does the ring cost?,1.20,1,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20
crt1,44,A pair of leggings and a scarf together cost $52. The pair of leggings costs $50 more than the scarf. How much does the scarf cost?,52,50,$1.0,$2.0,$52.00,$50.00,$1.00,$2.00
crt1,45,A wall clock and a light bulb together cost $1.30. The wall clock costs $1 more than the light bulb. How much does the light bulb cost?,1.30,1,$0.150,$0.30,$1.30,$1.00,$0.15,$0.30
crt1,46,A blanket and a flashlight together cost $52. The blanket costs $50 more than the flashlight. How much does the flashlight cost?,52,50,$1.0,$2.0,$52.00,$50.00,$1.00,$2.00
crt1,47,A keyboard and a pair of socks together cost $54. The keyboard costs $50 more than the pair of socks. How much does the pair of socks cost?,54,50,$2.0,$4.0,$54.00,$50.00,$2.00,$4.00
crt1,48,A set of wine glasses and a pizza together cost $53. The set of wine glasses costs $50 more than the pizza. How much does the pizza cost?,53,50,$1.5,$3.0,$53.00,$50.00,$1.50,$3.00
crt1,49,A pear and a bottle of ouzo together cost $54. The pear costs $50 more than the bottle of ouzo. How much does the bottle of ouzo cost?,54,50,$2.0,$4.0,$54.00,$50.00,$2.00,$4.00
crt1,50,A pizza and a toy together cost $13. The pizza costs $10 more than the toy. How much does the toy cost?,13,10,$1.5,$3.0,$13.00,$10.00,$1.50,$3.00
